662118	Zvoriştea	47.833328	26.283331	RO
663118	Vaslui	46.633331	27.73333	RO
663227	Vama	47.566669	25.683331	RO
683506	Bucharest	44.432251	26.10626	RO
681291	Cluj	46.649441	23.818359	RO
680962	Constanța	44.25	28.33333	RO
524894	Moscow	55.761665	37.606667	RU
524681	Mrakovo	52.71611	56.624439	RU
6542284	Venezia	45.4389	12.33092	IT
3169070	Rome	41.894741	12.4839	IT
756135	Warsaw	52.229771	21.01178	PL
756151	Warka	51.784302	21.19091	PL
3054638	Budapest	19.08333	47.5	HU
3054612	Bugac	46.687038	19.68074	HU
281184	Jerusalem	31.769039	35.216331	IL
293100	Safed	32.965641	35.500488	IL
2950158	Berlin	54.033329	10.45	DE
2950177	Berkoth	50.044159	6.33991	DE
617094	Vulcăneşti	47.1525	28.191669	MD
617137	Verejeni	47.534168	28.47056	MD
2673722	Stockholm	59.5	18.0	SE
2673693	Stockvik	62.33667	17.365829	SE
2618425	Copenhagen	55.675941	12.56553	DK
2618489	Kolt	56.108452	10.06986	DK
